name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week_chart,custom_index
NEAR Protocol,$1.33,0.54,0.57,-1.46,"$1,237,027,217","$40,932,144","931,291,384",https://coinmarketcap.com/currencies/near-protocol/?period=7d,-13579396.52
Quant,$100.95,0.19,-0.87,-3.78,"$1,218,419,444","$12,223,287","12,072,738",https://coinmarketcap.com/currencies/quant/?period=7d,-456228.38
Aave,$74.18,0.06,0.81,-1.23,"$1,072,501,435","$97,104,981","14,472,451",https://coinmarketcap.com/currencies/aave/?period=7d,-177834.56
The Graph,$0.1159,0.61,1.68,-4.24,"$1,053,345,324","$29,129,622","9,075,330,087",https://coinmarketcap.com/currencies/the-graph/?period=7d,-3853480.74
Stacks,$0.668,-0.42,1.6,-0.68,"$930,044,207","$65,417,378","1,391,076,849",https://coinmarketcap.com/currencies/stacks/?period=7d,-946751.59
MultiversX,$35.27,0.14,-0.16,1.34,"$905,637,848","$10,850,878","25,690,919",https://coinmarketcap.com/currencies/multiversx-egld/?period=7d,344075.62
Maker,$901.52,0.35,-1.45,-2.05,"$881,366,867","$43,490,815","977,631",https://coinmarketcap.com/currencies/maker/?period=7d,-20041.73
BitDAO,$0.4729,0.18,6.05,2.67,"$871,562,391","$17,372,967","1,843,669,839",https://coinmarketcap.com/currencies/bitdao/?period=7d,492085.34
Algorand,$0.106,-0.57,-1.67,-11.63,"$811,356,404","$41,648,768","7,646,514,746",https://coinmarketcap.com/currencies/algorand/?period=7d,-89019575.27
The Sandbox,$0.4219,0.14,0.12,-1.02,"$789,175,997","$53,000,886","1,869,731,926",https://coinmarketcap.com/currencies/the-sandbox/?period=7d,-190793.91
EOS,$0.7183,0.25,-0.8,-0.49,"$787,628,790","$99,377,058","1,096,596,667",https://coinmarketcap.com/currencies/eos/?period=7d,-53729.38
Optimism,$1.21,0.06,-0.9,-1.68,"$778,145,970","$74,152,747","644,594,782",https://coinmarketcap.com/currencies/optimism-ethereum/?period=7d,-10804010.16
Tezos,$0.8204,0.16,-0.64,2.0,"$775,032,725","$14,107,513","944,858,997",https://coinmarketcap.com/currencies/tezos/?period=7d,188940.21
Fantom,$0.2697,-0.37,-0.46,-9.77,"$755,056,170","$69,889,722","2,798,980,279",https://coinmarketcap.com/currencies/fantom/?period=7d,-2735223.87
Theta Network,$0.7542,-0.09,1.24,2.87,"$754,147,318","$15,514,797","1,000,000,000",https://coinmarketcap.com/currencies/theta-network/?period=7d,286979.95
Bitcoin SV,$39.21,0.19,-1.17,-6.78,"$755,361,447","$40,747,847","19,266,077",https://coinmarketcap.com/currencies/bitcoin-sv/?period=7d,-1306133.8
Decentraland,$0.391,0.0,0.71,1.57,"$740,209,411","$38,105,619","1,893,095,371",https://coinmarketcap.com/currencies/decentraland/?period=7d,2972196.36
USDD,$0.9989,0.06,-0.04,0.0,"$737,489,824","$15,253,388","738,348,955",https://coinmarketcap.com/currencies/usdd/?period=7d,0.0
Immutable,$0.6879,-0.12,-1.06,-5.2,"$715,732,374","$9,504,000","1,040,385,513",https://coinmarketcap.com/currencies/immutable-x/?period=7d,-541039.15
Render Token,$1.93,-0.26,-2.55,-1.9,"$713,702,891","$35,331,091","368,852,897",https://coinmarketcap.com/currencies/render-token/?period=7d,-7026090.64
Axie Infinity,$5.94,0.34,0.74,-0.03,"$708,096,600","$34,861,829","119,284,894",https://coinmarketcap.com/currencies/axie-infinity/?period=7d,-35762.45
Rocket Pool,$35.86,-0.05,-1.43,-6.44,"$701,159,587","$3,883,519","19,547,496",https://coinmarketcap.com/currencies/rocket-pool/?period=7d,-1259193.46
